1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	ExactMetric0	Time[ms]
0	-0.710729	0.000000	9.208500	0.025407	-0.714483	541.0
1	-0.731692	0.000000	9.208500	0.037674	-0.712261	103.2
2	-0.718814	1.000000	8.789932	0.057965	-0.706340	95.4
3	-0.725771	2.000000	8.407761	0.072047	-0.704767	104.0
4	-0.715017	3.000000	8.057438	0.062233	-0.712764	99.2
5	-0.723125	4.000000	7.735140	0.054327	-0.708764	94.5
6	-0.697556	5.000000	7.437635	0.050334	-0.713247	96.5
7	-0.712452	6.000000	7.162167	0.033946	-0.716134	102.6
8	-0.718208	7.000000	6.906375	0.028144	-0.715950	94.8
9	-0.705820	8.000000	6.668224	0.038387	-0.713960	83.7
10	-0.696393	9.000000	6.445950	0.040256	-0.716199	93.5
11	-0.723474	10.000000	6.238016	0.041836	-0.713376	93.0
12	-0.693531	11.000000	6.043078	0.035472	-0.716940	93.2
13	-0.718327	12.000000	5.859955	0.018760	-0.716025	91.2
14	-0.714802	11.878678	5.881578	0.032381	-0.716625	99.0
15	-0.725649	12.878678	5.707971	0.024396	-0.716582	91.7
16	-0.724569	13.878678	5.544319	0.016462	-0.716891	95.7
17	-0.709997	14.878678	5.389789	0.028052	-0.714827	91.7
18	-0.722264	15.878678	5.243640	0.026269	-0.716944	90.8
19	-0.720806	16.878678	5.105207	0.017350	-0.717281	97.2
20	-0.721672	17.875729	4.974273	0.021662	-0.715320	100.0
21	-0.741558	17.754412	4.989845	0.041136	-0.714764	96.6
22	-0.725749	18.754412	4.864328	0.028026	-0.716075	109.0
23	-0.714539	19.754412	4.744971	0.012211	-0.716179	90.7
24	-0.706816	19.633090	4.759139	0.030426	-0.715529	117.7
25	-0.709111	20.633090	4.644827	0.021133	-0.715956	103.4
26	-0.726013	21.633090	4.535878	0.016964	-0.715998	121.8
27	-0.723876	21.518725	4.548079	0.017408	-0.716405	100.4
28	-0.746834	22.518657	4.443577	0.018121	-0.716204	83.4
29	-0.716279	23.511682	4.344444	0.017689	-0.716059	94.2
30	-0.716416	24.332689	4.265763	0.022598	-0.716253	93.6
31	-0.718949	25.332688	4.173695	0.029653	-0.716387	84.2
32	-0.747223	26.332688	4.085517	0.024773	-0.716510	96.2
33	-0.713721	27.332688	4.000988	0.019037	-0.716633	102.9
34	-0.714840	28.332688	3.919886	0.024363	-0.717020	118.3
35	-0.736938	29.332688	3.842006	0.021497	-0.716541	98.6
36	-0.717018	30.332688	3.767161	0.012981	-0.716333	109.8
37	-0.734244	31.332688	3.695176	0.022462	-0.716912	107.3
38	-0.728116	31.211599	3.703746	0.024614	-0.717220	107.5
39	-0.740519	32.211599	3.634142	0.018659	-0.716765	95.8
40	-0.740136	33.211599	3.567106	0.023213	-0.716107	114.2
41	-0.722461	33.090277	3.575107	0.019115	-0.716623	97.8
42	-0.718232	34.090241	3.510213	0.024271	-0.716506	81.3
43	-0.704981	33.968919	3.517961	0.023640	-0.715956	100.2
44	-0.742244	34.968919	3.455105	0.028822	-0.716584	93.3
45	-0.725830	35.968919	3.394456	0.026045	-0.716232	100.1
46	-0.723111	35.847597	3.401701	0.021018	-0.716891	116.7
47	-0.702006	36.847597	3.342896	0.022186	-0.716903	101.0
48	-0.737915	37.847566	3.286092	0.023469	-0.716922	131.1
49	-0.713291	38.847563	3.231184	0.019783	-0.716349	107.1
50	-0.736641	38.726458	3.237736	0.030003	-0.716624	100.6
51	-0.713937	39.726458	3.184419	0.017047	-0.716723	116.8
52	-0.743290	40.726458	3.132830	0.012381	-0.716673	107.6
53	-0.733106	40.605136	3.139000	0.022002	-0.716469	103.1
54	-0.704480	41.605136	3.088860	0.017469	-0.716062	102.2
55	-0.717751	42.605123	3.040298	0.021842	-0.715930	112.5
56	-0.726747	42.483803	3.046108	0.027303	-0.715632	130.7
57	-0.725860	42.362484	3.051940	0.021024	-0.715780	106.0
58	-0.712663	42.253773	3.057185	0.020688	-0.715827	107.7
59	-0.702552	42.134110	3.062980	0.031923	-0.715568	118.0
60	-0.719589	42.228605	3.058402	0.022736	-0.715785	106.7
61	-0.711101	43.228605	3.010785	0.026317	-0.715805	106.0
62	-0.712030	44.228604	2.964627	0.023959	-0.715602	102.7
63	-0.717545	45.228604	2.919864	0.015960	-0.715903	113.3
64	-0.712735	46.228604	2.876432	0.015127	-0.715988	123.3
65	-0.722613	47.224987	2.834423	0.020457	-0.716076	123.7
66	-0.720552	48.224987	2.793478	0.028972	-0.716062	106.6
67	-0.736408	49.224987	2.753699	0.020337	-0.715661	122.5
68	-0.706828	49.103665	2.758465	0.014942	-0.715784	102.9
69	-0.736556	50.103641	2.719671	0.025162	-0.716104	103.6
70	-0.716869	51.103641	2.681952	0.029179	-0.716184	109.1
71	-0.726160	51.356820	2.672568	0.040521	-0.715770	117.0
72	-0.704232	52.356820	2.636135	0.011670	-0.715917	108.5
73	-0.720721	53.356820	2.600683	0.026684	-0.716454	105.8
74	-0.727723	53.591126	2.592514	0.023298	-0.716364	102.6
75	-0.723548	53.469804	2.596737	0.025913	-0.716537	93.9
76	-0.731764	54.469804	2.562329	0.019508	-0.716336	104.1
77	-0.730903	55.202201	2.537702	0.022448	-0.715878	106.4
78	-0.705157	55.080879	2.541749	0.018065	-0.716145	92.5
79	-0.740407	56.080879	2.508774	0.020419	-0.716334	120.9
80	-0.735921	55.961945	2.512651	0.018447	-0.716029	121.8
81	-0.712171	56.007575	2.511162	0.021656	-0.716269	102.5
82	-0.721560	57.007575	2.478971	0.018478	-0.716433	137.2
83	-0.722939	56.886253	2.482832	0.021870	-0.716007	102.1
84	-0.708650	57.886253	2.451359	0.025469	-0.716365	105.2
85	-0.720745	58.886253	2.420673	0.017236	-0.716294	94.5
86	-0.732664	59.886253	2.390746	0.017782	-0.716381	87.3
87	-0.722874	60.886253	2.361550	0.021729	-0.716001	89.7
88	-0.730102	60.765021	2.365052	0.022390	-0.716104	100.4
89	-0.747337	61.765021	2.336476	0.019787	-0.716173	93.6
90	-0.699808	62.765021	2.308583	0.020584	-0.716148	94.1
91	-0.706850	63.764465	2.281363	0.016762	-0.716106	117.3
92	-0.735695	64.764465	2.254763	0.020104	-0.716211	99.4
93	-0.747765	64.643544	2.257946	0.027464	-0.716365	100.2
94	-0.716776	65.643544	2.231886	0.019543	-0.716383	95.5
95	-0.730581	66.643544	2.206420	0.018017	-0.716263	101.9
96	-0.715345	66.522222	2.209479	0.015372	-0.716275	93.8
97	-0.727645	67.522222	2.184519	0.020950	-0.716169	99.0
98	-0.733761	68.522221	2.160117	0.019038	-0.716250	92.8
99	-0.735641	69.522221	2.136255	0.021568	-0.716337	99.0
