1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	ExactMetric0	Time[ms]
0	-0.980897	0.000000	3548.784651	0.003005	-0.948822	1112.5
1	-0.977001	0.000000	3548.784651	0.008271	-0.859581	86.5
2	-0.851273	1.000000	3387.476257	0.005612	-0.944155	91.5
3	-0.968539	2.000000	3240.194681	0.005656	-0.949381	87.5
4	-0.942592	1.719229	3280.238012	0.005825	-0.934096	76.5
5	-0.950478	2.719229	3141.943548	0.005890	-0.950295	79.2
6	-0.951882	3.719229	3014.838306	0.005747	-0.944427	95.3
7	-0.946144	4.719229	2897.617128	0.006565	-0.934358	84.7
8	-0.932205	5.719229	2789.170242	0.006885	-0.942339	78.0
9	-0.956088	6.719229	2688.548026	0.006594	-0.943395	84.5
10	-0.952014	7.719229	2594.933115	0.006858	-0.940220	77.0
11	-0.954439	8.719229	2507.618160	0.006099	-0.957690	76.3
12	-0.969651	9.719229	2425.987915	0.007182	-0.929152	78.2
13	-0.943349	10.719229	2349.504722	0.007565	-0.946469	128.7
14	-0.949900	11.719229	2277.696650	0.006443	-0.954387	90.0
15	-0.964040	12.719229	2210.147755	0.006712	-0.949507	102.2
16	-0.944487	13.719229	2146.490011	0.006484	-0.959047	85.6
17	-0.949486	14.719229	2086.396608	0.006395	-0.953914	79.5
18	-0.949775	15.719229	2029.576335	0.006314	-0.962788	78.4
19	-0.963134	16.719229	1975.768863	0.006051	-0.962723	87.0
20	-0.976073	17.719229	1924.740758	0.006067	-0.964470	84.3
21	-0.972803	18.719229	1876.282094	0.006429	-0.958912	98.3
22	-0.950623	19.719229	1830.203567	0.007007	-0.961014	110.8
23	-0.970842	20.719229	1786.334022	0.006484	-0.962279	88.4
24	-0.976336	21.719229	1744.518332	0.006434	-0.967980	78.7
25	-0.980317	22.719229	1704.615562	0.006497	-0.963452	87.0
26	-0.972275	23.719229	1666.497383	0.006421	-0.970371	79.4
27	-0.978419	24.719229	1630.046695	0.006081	-0.969488	85.9
28	-0.986652	25.719229	1595.156420	0.006302	-0.967476	77.0
29	-0.978833	26.719229	1561.728462	0.006127	-0.972514	78.7
30	-0.990959	27.719229	1529.672772	0.005501	-0.974075	94.9
31	-0.969111	28.719229	1498.906551	0.005671	-0.972822	87.4
32	-0.979807	29.719229	1469.353528	0.005735	-0.975082	76.8
33	-0.984913	30.719229	1440.943330	0.006013	-0.970840	85.7
34	-0.968493	31.719229	1413.610925	0.006616	-0.971640	77.5
35	-0.960018	32.719229	1387.296122	0.005545	-0.979064	79.0
36	-0.979213	33.719229	1361.943130	0.004453	-0.982068	85.1
37	-0.995414	34.719229	1337.500166	0.003636	-0.984201	74.6
38	-0.974093	35.719229	1313.919095	0.003915	-0.983183	87.5
39	-0.992360	36.719229	1291.155119	0.003835	-0.984144	82.7
40	-1.002647	37.719229	1269.166494	0.002922	-0.986341	84.4
41	-0.992492	38.719229	1247.914269	0.003342	-0.985263	105.7
42	-0.982457	39.719229	1227.362060	0.003454	-0.983339	82.9
43	-1.002049	40.719229	1207.475842	0.005259	-0.978372	79.2
44	-1.000062	41.719229	1188.223758	0.004228	-0.986669	102.8
45	-1.004446	42.719229	1169.575953	0.003498	-0.985142	82.7
46	-1.015923	43.719229	1151.504416	0.004111	-0.982467	99.1
47	-0.992687	44.719229	1133.982840	0.004634	-0.984519	91.7
48	-0.997524	45.719229	1116.986498	0.003611	-0.985863	79.2
49	-0.996101	46.719229	1100.492121	0.004161	-0.983404	82.7
50	-0.993420	47.719229	1084.477795	0.004390	-0.984620	84.7
51	-1.002867	48.719229	1068.922864	0.004945	-0.980749	97.1
52	-0.989251	49.719229	1053.807840	0.006298	-0.978274	85.3
53	-0.986106	50.719229	1039.114321	0.006614	-0.979487	91.3
54	-0.984519	51.719229	1024.824919	0.006497	-0.979515	111.9
55	-1.003735	52.719229	1010.923187	0.004944	-0.986566	104.8
