1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	ExactMetric0	Time[ms]
0	-1.203831	0.000000	9.946340	0.036386	-1.202008	225.3
1	-1.223512	0.000000	9.946340	0.026550	-1.207856	17.2
2	-1.218817	0.000000	9.946340	0.016242	-1.209405	18.8
3	-1.217911	0.000000	9.946340	0.011263	-1.210007	18.8
4	-1.230532	0.000000	9.946340	0.004135	-1.210135	17.5
5	-1.211478	0.999999	9.494234	0.006220	-1.210136	18.1
6	-1.204273	0.978715	9.503429	0.009390	-1.210059	18.8
7	-1.214250	1.978715	9.089853	0.012635	-1.210210	18.3
8	-1.211867	2.978715	8.710773	0.006401	-1.210375	18.7
9	-1.215587	3.978715	8.362045	0.005758	-1.210362	18.2
10	-1.192515	3.959232	8.368573	0.003955	-1.210387	17.8
11	-1.212754	4.959232	8.046199	0.003726	-1.210337	18.1
12	-1.210503	4.939695	8.052259	0.005202	-1.210410	18.0
13	-1.223920	5.939694	7.753360	0.004197	-1.210386	18.5
14	-1.236599	5.918410	7.759491	0.004941	-1.210340	17.9
15	-1.223717	5.919931	7.759052	0.004072	-1.210384	17.4
16	-1.210918	6.469574	7.603800	0.005815	-1.210298	18.9
17	-1.210537	6.448290	7.609696	0.011008	-1.210320	18.8
18	-1.213355	7.448290	7.342204	0.006287	-1.210350	19.1
19	-1.233249	8.448290	7.092879	0.008576	-1.210330	19.5
20	-1.217307	9.446890	6.860246	0.006446	-1.210392	18.3
21	-1.232767	10.446814	6.642108	0.006894	-1.210391	17.3
22	-1.201543	11.446814	6.437401	0.002758	-1.210364	18.1
23	-1.191832	11.425542	6.441624	0.006477	-1.210399	18.3
24	-1.220428	12.295752	6.273267	0.005859	-1.210391	18.4
25	-1.221097	12.277429	6.276721	0.004405	-1.210431	18.7
26	-1.223934	13.277429	6.093606	0.004424	-1.210389	18.2
27	-1.202528	14.232408	5.928438	0.003349	-1.210397	17.6
28	-1.205159	14.357584	5.907450	0.003826	-1.210435	18.3
29	-1.223119	14.337274	5.910845	0.003646	-1.210398	19.3
30	-1.213089	15.337252	5.748182	0.005930	-1.210332	18.9
31	-1.175888	15.315968	5.751551	0.007073	-1.210356	19.3
32	-1.233673	16.315959	5.597421	0.004999	-1.210372	18.8
33	-1.215013	17.315950	5.451337	0.009353	-1.210374	18.1
34	-1.228848	18.315949	5.312682	0.006404	-1.210429	17.9
35	-1.229530	19.315949	5.180906	0.003952	-1.210436	18.2
36	-1.206716	19.294987	5.183601	0.007947	-1.210383	18.5
37	-1.215046	20.294987	5.058075	0.005357	-1.210405	18.6
38	-1.209238	21.294984	4.938485	0.005167	-1.210348	18.4
39	-1.214027	21.273767	4.940964	0.010666	-1.210358	19.5
40	-1.214033	22.273767	4.826785	0.003131	-1.210305	13.7
41	-1.195275	22.252482	4.829160	0.010321	-1.210400	13.1
42	-1.193488	23.252482	4.720032	0.003942	-1.210420	15.4
43	-1.215966	24.249090	4.616074	0.003262	-1.210416	14.1
44	-1.229371	25.244186	4.516744	0.001948	-1.210423	15.0
45	-1.205925	25.309981	4.510327	0.004881	-1.210422	13.6
46	-1.217012	25.288850	4.512386	0.002718	-1.210418	14.0
47	-1.230413	26.279675	4.417821	0.006014	-1.210373	14.9
48	-1.230970	26.270482	4.418680	0.004946	-1.210288	13.5
49	-1.186315	26.249197	4.420671	0.007575	-1.210384	14.8
50	-1.183299	27.249197	4.329049	0.006499	-1.210421	14.9
51	-1.220646	27.227913	4.330960	0.005055	-1.210424	16.7
52	-1.213710	28.086268	4.255226	0.004688	-1.210416	13.6
53	-1.205744	29.086268	4.170268	0.010772	-1.210367	16.7
54	-1.221560	30.086260	4.088637	0.006576	-1.210432	12.3
55	-1.225984	31.086260	4.010139	0.003071	-1.210442	13.6
